"","sort(Matrix::colSums(cmat), decreasing = TRUE)[1:20]"
"TILLY C. 1978 MOBILIZATION REVOLUT",20
"LOHMANN S 1994 WORLD POLIT ",17
"MCADAM DOUG 2001 DYNAMICS CONTENTION",17
"GURR TED 1970 WHY MEN REBEL",16
"KURAN T 1991 WORLD POLIT ",16
"TARROW S. 1998 POWER MOVEMENT SOCIA",15
"CHENOWETH ERICA 2011 WHY CIVIL RESISTANCE",14
"MCCARTHY JD 1977 AM J SOCIOL ",14
"DAVENPORT C 2007 ANNU REV POLIT SCI ",11
"FEARON JD 2003 AM POLIT SCI REV ",11
"KURAN T 1989 PUBLIC CHOICE ",11
"GRANOVETTER M 1978 AM J SOCIOL ",10
"MCADAM DOUG 1982 POLITICAL PROCESS DE",10
"OLSON M. 1965 LOGIC COLLECTIVE ACT",10
"TARROW S. 1994 POWER MOVEMENT SOCIA",10
"DE MESQUITA EB 2010 AM POLIT SCI REV ",9
"MOORE WH 1998 AM J POLIT SCI ",9
"VERBA S. 1995 VOICE EQUALITY CIVIC",9
"BOIX C. 2003 DEMOCRACY REDISTRIBU",8
"EGOROV G 2009 AM POLIT SCI REV ",8
