"","sort(Matrix::colSums(cmat), decreasing = TRUE)[1:20]"
"MCCARTHY JD 1977 AM J SOCIOL ",66
"TILLY C. 1978 MOBILIZATION REVOLUT",60
"MCADAM DOUG 1982 POLITICAL PROCESS DE",54
"EARL J 2004 ANNU REV SOCIOL ",42
"SNOW DA 1986 AM SOCIOL REV ",42
"MCCARTHY JD 1996 AM SOCIOL REV ",40
"BENFORD RD 2000 ANNU REV SOCIOL ",39
"CRESS DM 2000 AM J SOCIOL ",36
"GAMSON WILLIAM A. 1990 STRATEGY SOCIAL PROT",36
"MEYER DS 1996 AM J SOCIOL ",35
"MORRIS ALDON 1984 ORIGINS CIVIL RIGHTS",35
"PIVEN F. F. 1977 POOR PEOPLES MOVEMEN",35
"ANDREWS KT 2001 AM SOCIOL REV ",30
"MCADAM D 2002 AM SOCIOL REV ",30
"MCADAM DOUG 2001 DYNAMICS CONTENTION",29
"MINKOFF DC 1997 AM SOCIOL REV ",28
"TARROW S. 1998 POWER MOVEMENT SOCIA",28
"MCADAM D 1983 AM SOCIOL REV ",27
"MEYER DS 2004 ANNU REV SOCIOL ",27
"POLLETTA F 2001 ANNU REV SOCIOL ",27
